,papel,cotacao,pByL,pByVp,psr,dividendYield,pByAtivo,pByCapitalGiro,pByEbit,pByAtivoCircLiq,evByEbit,evByEbitda,margemEbit,margemLiq,liqCorr,roic,roe,liqDoisMeses,patrimonioLiquido,dividaBrutaByPatrimonio,crescRec,setor,industria,nomeEmpresaLongo,nomeEmpresa,smallcap,evByEbitRanking,roicRanking,magicRanking
413,USIM3,14.59,2.02,0.84,0.542,8.88,0.463,1.34,1.79,3.75,1.72,1.57,30.24,29.82,3.16,34.2,41.7,13013700.0,21749300000.0,0.29,27.74,Basic Materials,Steel,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    ON      N1,False,43,48,91
373,ASSM3,7.12,0.33,-0.17,-9.754,0.0,0.155,-0.23,0.47,-0.09,1.95,1.95,-2084.39,-2915.61,0.21,35.38,-50.73,0.0,-9943000.0,-0.56,-8.79,,,,,True,47,46,93
418,USIM5,15.83,2.19,0.91,0.588,9.01,0.502,1.45,1.94,4.07,1.87,1.71,30.24,29.82,3.16,34.2,41.7,352454000.0,21749300000.0,0.29,27.74,Basic Materials,Steel,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    PNA     N1,False,44,50,94
433,BRKM5,47.4,2.64,2.96,0.393,15.91,0.4,3.51,1.47,-0.94,2.21,1.92,26.76,14.95,1.33,37.26,112.04,172107000.0,12764200000.0,2.66,14.16,Basic Materials,Chemicals,Braskem S.A.,BRASKEM     PNA     N1,False,60,35,95
279,SALM4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,10.22,4.13,1.31,25.78,19.53,0.0,475600000.0,0.8,24.53,,,,,False,18,77,95
484,VALE3,101.97,4.2,2.65,1.737,10.75,1.021,12.75,2.94,-2.88,3.0,2.74,59.16,41.34,1.47,42.02,63.01,2396560000.0,192403000000.0,0.4,27.49,Basic Materials,Other Industrial Metals & Mining,Vale S.A.,VALE        ON      NM,False,76,20,96
377,AGEN33,0.16,0.39,-0.03,0.0,0.0,0.066,-0.17,0.11,-0.02,3.73,3.61,0.0,0.0,0.09,87.67,-8.85,0.0,-1112630000.0,-1.11,-87.03,,,,,True,93,4,97
330,SALM3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,10.22,4.13,1.31,25.78,19.53,0.0,475600000.0,0.8,24.53,,,,,False,19,78,97
280,CSPC3,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,38.62,18.85,1.43,29.18,45.33,0.0,2126670000.0,1.48,41.15,,,,,False,30,67,97
321,CSPC4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,38.62,18.85,1.43,29.18,45.33,0.0,2126670000.0,1.48,41.15,,,,,False,29,68,97
372,GAZO4,2.32,0.31,-0.03,-1.411,0.0,0.205,-0.46,0.86,-0.03,1.03,1.03,-164.0,-454.48,0.35,25.06,-10.61,0.0,-102667000.0,-0.01,-28.21,,,,,True,15,84,99
434,CSNA3,29.0,2.67,1.99,0.85,7.28,0.529,3.52,2.05,-2.1,2.62,2.3,41.47,34.71,1.51,38.45,74.69,308734000.0,20194800000.0,1.47,23.56,Basic Materials,Steel,Companhia Siderúrgica Nacional,SID NACIONALON,False,68,31,99
438,MRFG3,20.96,2.98,2.98,0.182,13.84,0.308,1.62,1.32,-0.97,2.63,2.31,13.76,8.47,1.54,38.6,99.93,131914000.0,4866930000.0,6.16,47.35,Consumer Defensive,Packaged Foods,Marfrig Global Foods S.A.,MARFRIG     ON      NM,False,70,30,100
428,USIM6,18.0,2.49,1.04,0.669,7.92,0.571,1.65,2.21,4.63,2.14,1.95,30.24,29.82,3.16,34.2,41.7,218.93,21749300000.0,0.29,27.74,Basic Materials,Steel,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    PNB     N1,False,56,49,105
730,AURA33,45.15,13.29,2.1,1.33,14.59,0.966,4.55,3.68,-11.99,3.65,3.65,36.18,10.01,1.86,43.06,15.82,8034640.0,1519430000.0,0.58,63.49,Basic Materials,Gold,Aura Minerals Inc.,AURA 360    DR3,False,91,16,107
467,TASA4,22.5,3.76,4.42,1.071,0.0,1.426,4.12,3.55,368.86,4.01,3.85,30.16,28.53,2.03,49.06,117.57,19140400.0,601833000.0,0.86,32.41,Industrials,Aerospace & Defense,Taurus Armas S.A.,TAURUS ARMASPN      N2,False,99,11,110
379,GAZO3,3.4,0.45,-0.05,-2.068,0.0,0.301,-0.67,1.26,-0.04,1.43,1.43,-164.0,-454.48,0.35,25.06,-10.61,0.0,-102667000.0,-0.01,-28.21,,,,,True,28,83,111
469,TASA3,22.6,3.77,4.43,1.076,0.0,1.432,4.14,3.57,370.5,4.02,3.87,30.16,28.53,2.03,49.06,117.57,730672.0,601833000.0,0.86,32.41,Industrials,Aerospace & Defense,Taurus Armas S.A.,TAURUS ARMASON      N2,False,101,12,113
432,GGBR3,23.4,2.6,0.94,0.514,13.12,0.545,2.16,2.15,24.51,2.54,2.24,23.88,19.86,2.33,31.71,36.37,1259640.0,42604300000.0,0.33,15.64,Basic Materials,Steel,Gerdau S.A.,GERDAU      ON      N1,False,66,54,120
394,TSPP4,9.05,1.24,0.37,0.188,0.0,0.162,-4.02,0.85,-0.65,1.3,1.3,22.01,15.2,0.89,23.92,29.88,0.0,9816290000.0,0.35,13.06,,,,,False,26,94,120
375,BELG3,1375.5,0.36,0.07,0.063,0.0,0.044,0.29,0.23,2.6,0.41,0.41,27.7,19.46,1.97,22.04,18.59,0.0,13495400000.0,0.17,48.47,,,,,False,8,118,126
374,BELG4,1370.0,0.36,0.07,0.062,0.0,0.044,0.29,0.23,2.59,0.4,0.4,27.7,19.46,1.97,22.04,18.59,0.0,13495400000.0,0.17,48.47,,,,,False,7,119,126
445,GGBR4,29.4,3.26,1.19,0.645,10.44,0.685,2.72,2.7,30.8,3.09,2.72,23.88,19.86,2.33,31.71,36.37,327527000.0,42604300000.0,0.33,15.64,Basic Materials,Steel,Gerdau S.A.,GERDAU      PN      N1,False,79,55,134
404,TSPP3,12.6,1.72,0.51,0.262,0.0,0.225,-5.59,1.19,-0.91,1.63,1.63,22.01,15.2,0.89,23.92,29.88,0.0,9816290000.0,0.35,13.06,,,,,False,38,97,135
536,UNIP3,97.3,5.79,3.63,1.694,14.43,1.512,6.05,5.0,-12.88,4.75,4.27,33.88,29.6,2.19,42.37,62.57,2565640.0,2534710000.0,0.38,17.73,Basic Materials,Chemicals,Unipar Carbocloro S.A.,UNIPAR      ON,False,132,17,149
537,UNIP5,98.2,5.85,3.66,1.71,15.73,1.526,6.11,5.05,-13.0,4.79,4.31,33.88,29.6,2.19,42.37,62.57,28377.0,2534710000.0,0.38,17.73,Basic Materials,Chemicals,Unipar Carbocloro S.A.,UNIPAR      PNA,False,133,18,151
538,UNIP6,98.6,5.87,3.67,1.717,15.66,1.533,6.14,5.07,-13.05,4.82,4.33,33.88,29.6,2.19,42.37,62.57,37422900.0,2534710000.0,0.38,17.73,Basic Materials,Chemicals,Unipar Carbocloro S.A.,UNIPAR      PNB,False,134,19,153
502,AGRO3,34.16,5.07,1.43,1.835,7.67,0.964,2.92,4.34,5.78,4.2,3.69,42.32,36.22,3.04,31.83,28.15,21510600.0,2451480000.0,0.32,50.87,Consumer Defensive,Farm Products,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,BRASILAGRO  ON      NM,False,106,53,159
619,CMET4,3.91,8.1,5.38,3.068,0.0,3.136,9.47,5.72,27.2,5.34,5.34,53.63,43.03,2.64,81.4,66.4,0.0,2847970000.0,0.18,30.18,,,,,False,155,5,160
521,AFLT3,8.52,5.39,2.17,4.467,7.4,1.948,10.65,5.21,16.59,5.04,5.04,85.8,82.95,5.86,41.05,40.32,6079.2,247518000.0,0.0,39.35,Utilities,Utilities—Regulated Electric,Afluente Transmissão de Energia Elétrica S.A.,AFLUENTE T  ON,True,144,22,166
629,CPSL3,38.02,8.56,3.49,0.787,0.0,2.043,7.39,5.79,11.84,5.48,5.48,13.59,9.2,1.89,57.15,40.82,0.0,1634730000.0,0.17,16.21,,,,,False,159,8,167
489,MNPR3,5.65,4.66,-0.11,0.132,0.0,0.156,-0.1,0.93,-0.08,0.94,0.81,14.21,2.83,0.23,17.69,-2.39,48486.9,-360965000.0,-0.0,11.54,Consumer Defensive,Farm Products,Minupar Participações S.A.,MINUPAR     ON,True,12,156,168
470,MNPR4,4.63,3.82,-0.09,0.108,0.0,0.128,-0.08,0.76,-0.07,0.77,0.66,14.21,2.83,0.23,17.69,-2.39,0.0,-360965000.0,-0.0,11.54,,,,,True,11,157,168
713,AMPI3,55.0,12.41,2.74,0.247,0.0,0.177,5.68,0.98,-0.68,1.99,1.73,25.18,15.11,1.12,21.22,22.09,0.0,240799000.0,4.48,14.12,,,,,True,48,125,173
501,EPAR3,18.0,5.06,3.72,0.305,0.0,1.21,4.38,4.84,356.19,4.98,4.48,6.32,6.03,1.69,36.9,73.44,39382.2,71941000.0,0.56,51.02,Basic Materials,Lumber & Wood Production,Embpar Participacoes S.A.,EMBPAR S/A  ON,True,140,38,178
455,FHER3,18.57,3.52,11.05,0.29,0.0,0.409,1.83,2.02,-1.27,3.01,2.86,14.4,8.25,1.54,23.32,314.38,18444900.0,90470000.0,5.6,-13.97,Basic Materials,Agricultural Inputs,Fertilizantes Heringer S.A.,FER HERINGERON      NM,True,78,101,179
499,RANI4,5.5,4.95,1.47,0.879,0.0,0.597,2.3,3.19,-3.14,4.07,3.36,27.54,17.77,2.78,25.64,29.8,0.0,957438000.0,0.93,14.45,,,,,False,103,79,182
513,RANI3,5.9,5.31,1.58,0.943,5.31,0.64,2.47,3.42,-3.37,4.3,3.55,27.54,17.77,2.78,25.64,29.8,7408020.0,957438000.0,0.93,14.45,Consumer Cyclical,Packaging & Containers,Irani Papel e Embalagem S.A.,IRANI       ON      NM,False,113,80,193
345,ENER5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.27,2.01,21.51,13.67,1.35,19.9,54.93,0.0,955630000.0,2.34,13.05,,,,,False,61,132,193
334,PTIP4,25.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,3.62,13.73,7.55,0.7,23.13,-121.74,0.0,-155957000.0,-9.02,62.11,,,,,True,90,103,193
299,PTIP3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,3.62,13.73,7.55,0.7,23.13,-121.74,0.0,-155957000.0,-9.02,62.11,,,,,True,89,104,193
346,ENER3,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.27,2.01,21.51,13.67,1.35,19.9,54.93,0.0,955630000.0,2.34,13.05,,,,,False,62,133,195
512,PATI4,64.99,5.3,1.82,0.583,2.79,0.781,1.3,4.46,2.66,4.89,4.75,13.07,10.99,3.26,31.6,34.34,2716.63,854351000.0,0.88,30.64,Basic Materials,Steel,Panatlântica S.A.,PANATLANTICAPN,False,137,59,196
347,ENER6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.27,2.01,21.51,13.67,1.35,19.9,54.93,0.0,955630000.0,2.34,13.05,,,,,False,63,134,197
575,FESA4,49.0,6.73,1.83,1.811,1.85,1.274,4.67,5.16,11.52,4.93,4.15,35.1,26.91,2.95,31.25,27.13,19541100.0,2369220000.0,0.17,18.49,Basic Materials,Steel,Cia de Ferro Ligas da Bahia - FERBASA,FERBASA     PN      N1,False,139,61,200
558,LEVE3,26.66,6.37,1.99,0.991,3.46,1.172,4.17,5.06,8.25,4.98,4.33,19.58,15.59,2.03,29.23,31.22,8578510.0,1719860000.0,0.14,7.79,Consumer Cyclical,Auto Parts,MAHLE Metal Leve S.A.,METAL LEVE  ON      NM,False,141,65,206
492,VCPA4,26.01,4.72,1.02,0.789,0.0,0.353,3.76,2.01,-1.0,4.05,2.99,39.18,16.75,1.46,22.95,21.57,0.0,14149000000.0,1.46,22.71,,,,,False,102,105,207
582,FESA3,52.0,7.14,1.94,1.922,1.58,1.352,4.95,5.48,12.23,5.24,4.41,35.1,26.91,2.95,31.25,27.13,14319.1,2369220000.0,0.17,18.49,Basic Materials,Steel,Cia de Ferro Ligas da Bahia - FERBASA,FERBASA     ON      N1,False,150,60,210
482,PETR4,34.23,4.19,1.15,0.986,16.51,0.459,13.4,2.34,-1.08,3.74,2.74,42.08,23.7,1.25,21.64,27.54,2247930000.0,387329000000.0,0.85,7.07,Energy,Oil & Gas Integrated,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   PN      N2,False,94,121,215
673,TRFO3,4.53,10.32,2.58,0.804,0.0,1.039,4.65,5.52,7.37,5.12,5.12,14.58,7.8,1.43,27.63,25.01,0.0,76165000.0,0.26,16.47,,,,,True,146,70,216
458,ALLD3,13.0,3.56,0.8,0.211,5.8,0.292,1.27,3.3,3.18,3.15,2.66,6.4,5.93,1.47,19.42,22.32,1817350.0,1523640000.0,0.27,0.0,Technology,Software—Application,Allied Tecnologia S.A.,ALLIED      ON      NM,False,80,138,218
550,PATI3,74.8,6.1,2.1,0.671,2.42,0.899,1.5,5.13,3.06,5.56,5.4,13.07,10.99,3.26,31.6,34.34,2023.46,854351000.0,0.88,30.64,Basic Materials,Steel,Panatlântica S.A.,PANATLANTICAON,False,161,58,219
488,PETR3,36.97,4.52,1.25,1.065,15.29,0.496,14.47,2.53,-1.16,3.93,2.87,42.08,23.7,1.25,21.64,27.54,682392000.0,387329000000.0,0.85,7.07,Energy,Oil & Gas Integrated,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   ON      N2,False,98,122,220
412,PTBL4,2.59,1.95,1.02,0.212,0.0,0.172,1.39,1.26,-0.47,2.86,2.31,16.89,10.89,1.36,18.48,52.51,0.0,373390000.0,2.2,14.03,,,,,False,73,149,222
685,TRFO4,4.7,10.7,2.68,0.835,0.0,1.078,4.82,5.73,7.65,5.33,5.33,14.58,7.8,1.43,27.63,25.01,0.0,76165000.0,0.26,16.47,,,,,True,154,69,223
612,ATOM3,2.92,7.97,3.42,2.011,10.27,2.245,2.34,9.46,3.53,7.06,6.99,21.26,25.25,46.94,55.9,42.88,161702.0,17865000.0,0.0,106.55,Communication Services,Telecom Services,Atom Empreendimentos e Participações S.A.,ATOMPAR     ON,True,223,9,232
504,LAVV3,5.05,5.09,0.77,1.548,13.88,0.541,1.02,5.06,1.27,2.18,2.18,30.57,34.75,4.42,16.24,15.17,4598720.0,1362660000.0,0.04,0.0,Real Estate,Real Estate Services,Lavvi Empreendimentos Imobiliários S.A.,LAVVI       ON      NM,False,59,184,243
450,LUXM3,10.0,3.43,0.51,0.423,0.0,0.326,2.67,2.61,-3.71,2.14,1.21,16.2,12.31,1.83,15.72,14.79,0.0,102314000.0,0.19,2.99,,,,,True,57,193,250
653,JALL3,10.94,9.32,2.43,2.319,2.69,0.855,2.94,4.55,-4.96,5.81,3.71,50.96,24.89,2.58,25.38,26.06,7624540.0,1328170000.0,1.32,0.0,Consumer Defensive,Packaged Foods,Jalles Machado S/A,JALLESMACHADON      NM,False,173,81,254
607,CURY3,7.05,7.8,3.38,1.292,8.02,0.945,2.36,5.77,9.92,5.31,5.22,22.39,17.46,2.15,23.27,43.37,7895970.0,608658000.0,0.64,0.0,Real Estate,Real Estate—Development,Cury Construtora e Incorporadora S.A.,CURY S/A    ON      NM,False,153,102,255
508,CRPG5,52.09,5.24,1.74,1.55,9.63,1.265,2.54,6.69,3.65,5.74,5.19,23.18,29.59,5.15,24.33,33.15,709857.0,870219000.0,0.0,12.56,Basic Materials,Chemicals,Tronox Pigmentos do Brasil S.A.,CRISTAL     PNA,False,168,91,259
709,MPLU3,26.8,12.2,17.37,6.877,0.0,2.676,50.65,10.34,66.01,7.71,7.28,66.52,56.37,1.06,129.57,142.4,0.0,250279000.0,0.0,-18.88,,,,,True,260,3,263
564,MTSA4,36.97,6.45,1.09,0.629,6.11,0.741,1.51,4.76,1.59,4.68,4.18,13.19,9.74,2.67,19.64,16.87,110470.0,310469000.0,0.18,21.18,Industrials,Farm & Heavy Construction Machinery,METISA Metalúrgica Timboense S.A.,METISA      PN,False,131,137,268
420,HAGA4,1.9,2.25,-0.34,0.501,0.0,0.358,1.0,4.93,-0.29,4.3,3.16,10.18,22.26,1.76,17.79,-15.13,181384.0,-66331300.0,-0.49,13.98,Industrials,Building Products & Equipment,HAGA S/A Indústria e Comércio,HAGA S/A    PN,True,115,153,268
636,ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,23.52,19.27,2.05,26.9,25.95,0.0,3105800000.0,0.09,13.34,,,,,False,200,71,271
408,CPFG4,12.26,1.88,0.41,0.58,0.0,0.139,7.45,1.02,-0.47,2.6,1.96,56.65,50.01,1.13,15.35,21.87,0.0,5433800000.0,0.92,5.42,,,,,False,67,204,271
665,QUAL3,13.18,9.83,2.24,1.791,15.72,0.786,-4.66,4.78,-2.86,6.09,4.24,37.44,18.65,0.69,24.49,22.78,49381900.0,1671410000.0,1.3,0.43,Healthcare,Healthcare Plans,Qualicorp Consultoria e Corretora de Seguros S.A.,QUALICORP   ON      NM,False,186,87,273
411,CPFG3,12.65,1.93,0.42,0.598,0.0,0.143,7.69,1.06,-0.48,2.63,1.98,56.65,50.01,1.13,15.35,21.87,0.0,5433800000.0,0.92,5.42,,,,,False,69,205,274
638,ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,23.52,19.27,2.05,26.9,25.95,0.0,3105800000.0,0.09,13.34,,,,,False,204,72,276
524,CRPG6,54.49,5.48,1.82,1.622,9.2,1.323,2.66,7.0,3.82,6.04,5.46,23.18,29.59,5.15,24.33,33.15,19261.8,870219000.0,0.0,12.56,Basic Materials,Chemicals,Tronox Pigmentos do Brasil S.A.,CRISTAL     PNB,False,184,92,276
426,EUCA4,8.61,2.48,0.45,0.352,5.47,0.253,1.86,1.92,-5.78,2.83,2.05,18.29,14.89,1.54,14.81,18.0,473358.0,1783070000.0,0.27,17.5,Industrials,Building Products & Equipment,Eucatex S.A. Indústria e Comércio,EUCATEX     PN      N1,False,72,211,283
586,RSUL4,60.9,7.23,5.27,1.203,0.0,1.268,8.28,6.12,-4.11,6.13,5.59,19.65,16.64,1.51,23.78,72.96,270768.0,67340000.0,0.23,22.89,Consumer Cyclical,Auto Parts,Metalúrgica Riosulense S.A.,RIOSULENSE  PN,True,187,98,285
526,TBLE6,10.65,5.56,1.1,0.693,0.0,0.228,3.17,1.56,-0.4,4.24,3.57,44.51,12.48,1.47,17.28,19.72,0.0,7929010000.0,2.54,16.13,,,,,False,111,174,285
622,WHRL3,5.92,8.17,3.54,0.785,9.92,0.981,9.12,8.64,17.02,7.51,6.4,9.09,9.63,1.16,35.93,43.37,25040.3,2511990000.0,0.44,6.66,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Whirlpool S.A.,WHIRLPOOL   ON,False,249,41,290
493,RAPT4,10.08,4.76,1.32,0.367,6.72,0.31,1.27,2.76,-3.74,4.26,3.59,13.3,9.77,1.66,16.25,27.69,30434900.0,2520220000.0,1.6,28.17,Industrials,Farm & Heavy Construction Machinery,Randon S.A. Implementos e Participações,RANDON PART PN      N1,False,112,182,294
303,ECIS4,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,34.9,14.18,1.38,12.48,7.33,0.0,129346000.0,0.38,4.66,,,,,True,34,261,295
260,ECIS3,211.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,34.9,14.18,1.38,12.48,7.33,0.0,129346000.0,0.38,4.66,,,,,True,35,260,295
618,WSON33,67.0,8.07,0.98,1.067,10.03,0.4,13.41,2.42,-0.89,5.08,5.08,44.14,13.58,1.26,18.36,12.17,0.0,2148530000.0,1.21,5.23,,,,,False,145,151,296
349,TEFC11,35.5,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,3.45,3.45,23.54,14.18,0.61,14.85,46.72,0.0,45856000000.0,2.95,12.91,,,,,False,87,209,296
556,TBLE5,12.0,6.26,1.23,0.781,0.0,0.257,3.57,1.75,-0.45,4.44,3.74,44.51,12.48,1.47,17.28,19.72,0.0,7929010000.0,2.54,16.13,,,,,False,122,175,297
494,RAPT3,10.32,4.87,1.35,0.375,6.57,0.317,1.3,2.82,-3.83,4.33,3.64,13.3,9.77,1.66,16.25,27.69,119586.0,2520220000.0,1.6,28.17,Industrials,Farm & Heavy Construction Machinery,Randon S.A. Implementos e Participações,RANDON PART ON      N1,False,116,183,299
464,DEXP4,7.56,3.61,1.56,0.476,0.0,0.597,2.36,3.99,165.29,4.83,4.22,11.93,15.56,1.88,17.46,43.15,30164.4,456531000.0,0.46,31.29,Basic Materials,Chemicals,Dexxos Participações S.A.,DEXXOS PAR  PN      N1,False,135,164,299
256,MSAN4,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,6.27,2.42,1.18,11.78,11.81,0.0,2533030000.0,0.39,101.35,,,,,False,3,296,299
313,MSAN3,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,6.27,2.42,1.18,11.78,11.81,0.0,2533030000.0,0.39,101.35,,,,,False,4,295,299
572,ALUP3,8.45,6.66,1.13,1.419,3.31,0.289,3.8,2.01,-0.66,4.21,4.06,70.7,40.56,1.8,15.69,17.03,77690.2,6551240000.0,1.54,43.78,Utilities,Utilities—Renewable,Alupar Investimento S.A.,ALUPAR      ON      N2,False,107,196,303
573,ALUP11,25.42,6.68,1.14,1.423,3.3,0.29,3.81,2.01,-0.66,4.22,4.06,70.7,40.56,1.8,15.69,17.03,18149300.0,6551240000.0,1.54,43.78,Utilities,Utilities—Renewable,Alupar Investimento S.A.,ALUPAR      UNT     N2,False,110,194,304
574,ALUP4,8.48,6.68,1.14,1.424,3.3,0.29,3.82,2.01,-0.66,4.22,4.07,70.7,40.56,1.8,15.69,17.03,105383.0,6551240000.0,1.54,43.78,Utilities,Utilities—Renewable,Alupar Investimento S.A.,ALUPAR      PN      N2,False,109,195,304
503,SAPR3,3.95,5.07,0.76,1.147,5.12,0.408,8.85,2.82,-1.26,4.3,3.63,40.65,22.63,1.48,15.8,15.05,1627900.0,7826340000.0,0.53,7.63,Utilities,Utilities—Regulated Water,Companhia de Saneamento do Paraná - SANEPAR,SANEPAR     ON      N2,False,114,190,304
491,JBSS3,35.83,4.72,1.83,0.258,8.91,0.434,3.09,3.17,-1.28,5.4,4.08,8.14,5.47,1.53,18.61,38.74,377218000.0,46554500000.0,1.81,19.36,Consumer Defensive,Packaged Foods,JBS S.A.,JBS         ON      NM,False,156,148,304
